SIGLA	DISCIPLINA	RECOMENDAÇÃO
ESTS003-17	Introdução à Astronáutica	Geometria Analítica
MCZC014-15	Introdução à Bioestatística	Não há
ESZB007-17	Introdução à Biofotônica e Óptica Biomédica	Física Médica I
ESZB022-17	Introdução à Bioinformática	Biologia Celular; Bioquímica:estrutura, propriedade e funções de biomoléculas
ESZB035-17	Introdução à Biomecânica do Contínuo	Fenômenos de Transporte
ESZB005-17	Introdução à Biotecnologia	Biodiversidade: Interações entre organismos e ambiente; Bioquímica: estrutura, propriedade e funções de biomoléculas; Evolução e diversificação da vida na Terra.
NHZ3023-15	Introdução à Cosmologia	Noções de Astronomia e Cosmologia
MCZB015-13	Introdução à Criptografia	Matemática Discreta; Teoria Aritmética dos Números
BHO1102-19	Introdução à Economia	Introdução ao Pensamento Econômico
ESZB021-17	Introdução à Engenharia Biomédica	Não há
MCBM016-23	Introdução à Estatística Bayesiana	Cálculo de Probabilidade; Introdução à Inferência Estatística
LCZ0001-19	Introdução à Filosofia da Ciência	Bases Epistemológicas da Ciência Moderna; Bases Matemáticas
MCTC001-15	Introdução à Filosofia da Mente	Não há
NHZ3024-15	Introdução à Física de Partículas Elementares	Mecânica Quântica II; Cálculo Vetorial e Tensorial
NHZ3083-15	Introdução à Física Estelar	Noções de Astronomia e Cosmologia
NHZ3026-15	Introdução à Física Nuclear	Funções de várias variáveis; Mecânica Quântica I
MCBM017-23	Introdução à Geometria Riemanniana	Análise no Rn II; Geometria Diferencial; Geometria dos Espaços Métricos
MCTC014-13	Introdução à Inferência Estatística	Introdução à Probabilidade e à Estatística
ESZI045-17	Introdução à Linguística Computacional	Bases Computacionais da Ciência
ESZB036-17	Introdução à Mecânica Biofluídica	Fenômenos de Transporte
MCTC002-15	Introdução à Neurociência	Não há
MCZC019-20	Introdução à Neuroimunologia	Introdução à Neurociência ou Morfofisiologia Humana I; Neurobiologia Molecular e Celular
MCZC020-20	Introdução à Neuromodulação Invasiva e Não-invasiva	Introdução à Neurociência ou Morfofisiologia Humana I; Neuroanatomia; Psicologia Cognitiva
BIN0406-15	Introdução à Probabilidade e à Estatística	Funções de Uma Variável
MCZA032-17	Introdução à Programação de Jogos	Geometria Analítica; Algoritmos e Estruturas de Dados I; Computação Gráfica
ESZP025-13	Introdução à Prospecção Tecnológica	Não há
MCZC003-15	Introdução à Psicolinguística e Neurociência da Linguagem	Psicologia Cognitiva
ESZB014-17	Introdução à Robótica	Análise e Controle de Sistemas Mecânicos
MCBM018-23	Introdução à Teoria Analítica dos Números	Análise Real II; Teoria Aritmética dos Números; Variáveis Complexas e Aplicações
MCBM019-23	Introdução à Teoria de Homologia	Teoria de Grupos;  Topologia
MCBM020-23	Introdução à Teoria Geométrica da Medida	Teoria da Medida e Integração
MCBM021-23	Introdução à Topologia Diferencial	Análise no Rn I; Topologia
NHBQ019-22	Introdução à Transferência de Calor, Massa e Movimentação de Fluidos.	Recomenda-se que o aluno se matricule nessa disciplina após ter concluído as disciplinas Funções de Várias Variáveis; Fenômenos Térmicos
BHS0006-23	Introdução ao acolhimento intercultural aos migrantes e refugiados	Não há
ESTA021-17	Introdução ao Controle Discreto	Transformadas em Sinais e Sistemas Lineares
ESZA023-17	Introdução ao Controle Moderno	Análise de Sistemas Dinâmicos Lineares
ESHR011-21	Introdução ao Direito e Fundamentos do Direito Internacional	Não há
BHO0002-19	Introdução ao Pensamento Econômico	Não há
ESZI035-17	Introdução ao Processamento de Sinais de Voz e Áudio	Processamento Digital de Sinais; Programação Estruturada
LHZ0041-22	Introdução aos Letramentos em Inglês	Não há
ESTA023-17	Introdução aos Processos de Fabricação	Sistemas CAD/CAM
ESTG017-17	Introdução aos Processos de Fabricação Metal - Mecânico	Sistemas CAD/CAE; Sistemas CAM
MCBM022-23	Introdução aos Processos Estocásticos	Álgebra Linear; Cálculo de Probabilidade
MCZB020-13	Introdução aos Sistemas Dinâmicos	Equações Diferenciais Ordinárias
ESTE016-17	Introdução aos Sistemas Elétricos de Potência	Circuitos Elétricos II
MCBM023-23	Introdução às Álgebras Não Associativas	Teoria de Anéis; Teoria de Grupos
MCZB021-13	Introdução às Curvas Algébricas	Teoria de Corpos
ESTO005-17	Introdução às Engenharias	Não há
BCN0405-15	Introdução às Equações Diferenciais Ordinárias	Funções de Várias Variáveis
BHO0001-19	Introdução às Humanidades e às Ciências Sociais	Não há
ESHP014-13	Introdução às Políticas Públicas	Estrutura e Dinâmica Social; Estado e Relações de Poder
ESZS014-17	Introdução às Vibrações Não Lineares	Vibrações
ESZI034-17	Jogos Digitais: Aspectos Técnicos e Aplicações	Programação Baseada em Componentes para Jogos ou Programação Orientada a Objetos
ESZB015-17	Laboratório de Bioinformática	Introdução à Bioinformática
NHZ6005-18	Laboratório de Bioprocessos	Biologia Molecular e Biotecnologia; Biologia Celular; Genética II; Bioquímica: estrutura, propriedades e funções debiomoléculas; Farmacologia; Proteínas Recombinantes
ESTE027-17	Laboratório de Calor e Fluidos	Mecânica dos Fluidos I; Mecânica dos Fluidos II; Transferência de Calor I; Transferência de Calor II
MCZA010-13	Laboratório de Engenharia de Software	Engenharia de Software
NHZ3080-15	Laboratório de Física Médica	Física Médica I
ESTS006-17	Laboratório de Guiagem, Navegação e Controle	Dinâmica e Controle de Veículos Espaciais
ESTA017-17	Laboratório de Máquinas Elétricas	Máquinas Elétricas
ESTE026-17	Laboratório de Máquinas Térmicas e Hidráulicas	Mecânica dos Fluidos II; Transferência de Calor II; Termodinâmica Aplicada I; Termodinâmica Aplicada II
LHE0002-22	Laboratório de Práticas Integradoras I (PCC)	Não há
LHE0003-22	Laboratório de Práticas Integradoras II (PCC)	Não há
NHZ3031-15	Laboratório de Propriedades Físicas de Materiais	Mecânica Quântica I; Estado Sólido
MCZA011-17	Laboratório de Redes	Redes de Computadores
MCZA012-13	Laboratório de Sistemas Operacionais	Sistemas Operacionais
NHZ3081-15	Lasers e Óptica Moderna	Física Quântica; Óptica; Funções de Várias Variáveis
ESTB010-17	Legislação Relacionada à Saúde	Princípios de Ética em Serviços de Saúde
NHLF002-22	Leitura filosófica de obras de arte	Não se aplica
NHI5015-22	LIBRAS	Não há
NHBQ009-22	Ligações Químicas	É recomendado que o aluno tenha sido aprovado nas disciplinas: Estrutura da Matéria; Transformações químicas; Fundamentos de Química; Estrutura Atômica e Molecular Avançada
NHZ2145-18	Língua Latina I	Não há
NHZ2146-18	Língua Latina II	Língua latina I
MCCC009-23	Linguagens Formais e Autômatos	Matemática Discreta II; Matemática Discreta I; Funções de Uma Variável; Análise de Algoritmos II; Análise de Algoritmos I; Algoritmos em Grafos; Algoritmos e Estruturas de Dados II; Algoritmos e Estruturas de Dados I; Programação Estruturada; Processamento da Informação
NHZ3095-22	Literatura e Ensino de Ciências	Não há
NHZ1095-19	Livro didático no ensino de conhecimentos biológicos	Não há
NHT4073-15	Livros Didáticos no Ensino de Química	Práticas de Ensino de Química I
NHI2049-13	Lógica Básica	Bases Matemáticas; Bases Epistemológicas da Ciência Moderna
NHZ2050-11	Lógica e os Fundamentos da Matemática	Lógica Básica
ESZG039-17	Lógica em Sistemas de Gestão	Não há
ESZA017-17	Lógica Programável	Eletrônica Digital
MCZA013-13	Lógicas Não Clássicas	Lógica Básica
ESZU013-17	Logística e Meio Ambiente	Métodos Quantitativos para Planejamento Estratégico; Métodos de Tomada de Decisão Aplicados ao Planejamento Urbano-Ambiental; Engenharia Logística; Território e Logística
ESHC022-17	Macroeconomia I	Introdução à Economia
ESHC032-17	Macroeconomia II	Introdução à Economia; Macroeconomia I
ESHC024-19	Macroeconomia III	Introdução à Economia; Funções de Uma Variável; Funções de Várias Variáveis; Economia Matemática; Macroeconomia I; Macroeconomia II
ESHC031-17	Macroeconomia Pós-Keynesiana	Introdução à Economia; Pensamento Econômico; Macroeconomia I
ESZS025-17	Máquinas de Fluxo	Mecânica dos Fluidos I
ESTA016-17	Máquinas Elétricas	Circuitos Elétricos II
ESZE085-17	Máquinas Térmicas de Fluxo	Sistemas Térmicos
MCTB019-17	Matemática Discreta	Funções de Uma Variável
MCCC010-23	Matemática Discreta II	Funções de Uma Variável; Matemática Discreta I
MCZD004-18	Matemática nos Anos Iniciais	Didática; Desenvolvimento e Aprendizagem; Didática da Matemática
ESTM017-17	Materiais Cerâmicos	Ciência dos Materiais
ESTM008-17	Materiais Compósitos	Materiais Poliméricos; Materiais Cerâmicos; Materiais Metálicos
ESTS009-17	Materiais Compósitos e Aplicações Estruturais	Materiais e suas Propriedades; Mecânica dos Sólidos I
ESTO006-17	Materiais e Suas Propriedades	Não há
ESZE108-17	Materiais e Tecnologias de Conversão Fotovoltaica	Engenharia Solar Fotovoltaica
ESTM005-17	Materiais Metálicos	Ciência dos Materiais
ESZM030-17	Materiais Nanoestruturados	Nanociência e Nanotecnologia
ESZM027-17	Materiais para Energia e Ambiente	Propriedades Elétricas, Magnéticas e Ópticas; Propriedades Mecânicas e Térmicas
ESZM028-17	Materiais para Tecnologia da Informação	Propriedades Elétricas, Magnéticas e Ópticas
ESTM006-17	Materiais Poliméricos	Ciência dos Materiais
ESZM021-17	Matérias Primas Cerâmicas	Materiais Cerâmicos
NHT3068-15	Mecânica Clássica I	Fenômenos Mecânicos; Funções de Várias Variáveis
NHT3069-15	Mecânica Clássica II	Mecânica Clássica I; Cálculo Vetorial e Tensorial
NHZ3075-15	Mecânica Clássica III	Mecânica Clássica II; Variáveis Complexas e Aplicações
ESTO015-17	Mecânica dos Fluidos I	Fenômenos Térmicos; Funções de Uma Variável; Funções de Várias Variáveis
ESTE024-17	Mecânica dos Fluidos II	Mecânica dos Fluidos I
ESTO008-17	Mecânica dos Sólidos I	Funções de Uma Variável; Fenômenos Mecânicos; Geometria Analítica; Fundamentos de Desenho Técnico
ESZS018-17	Mecânica dos Sólidos II	Mecânica dos Sólidos I
NHBP005-23	Mecânica Estatística I	Mecânica Clássica I; Princípios de Termodinâmica
NHBP006-23	Mecânica Estatística II	Mecânica Clássica I; Princípios de Termodinâmica; Mecânica Estatística I
NHT3037-13	Mecânica Geral	Fenômenos Mecânicos; Geometria Analítica; Funções de uma Variável; Funções de várias Variáveis; Introdução às Equações Diferenciais e Ordinárias
NHBP007-23	Mecânica Quântica I	Física Quântica; Funções de várias variáveis; Introdução às equações diferenciais; Algebra Linear 
NHBP008-23	Mecânica Quântica II	Mecânica Quântica I 
NHZ3077-15	Mecânica Quântica III	Mecânica Quântica II
NHBP009-23	Mecânica Quântica IV	Mecânica Quântica III
NHT4024-15	Mecanismos de Reações Orgânicas	É recomendado que o aluno tenha sido aprovado nas disciplinas: Transformações Químicas; Fundamentos de Reações Orgânicas
NHZ4062-15	Meio Ambiente e Indústria	Não há
ESZP044-14	Meio Ambiente e Políticas Públicas	Não há
MCZC013-15	Memória e Aprendizagem	Introdução à Neurociência ou Morfofisiologia Humana I; Psicologia Cognitiva; Psicologia Experimental; Biofísica de Membranas; Neurociência Teórica e Computacional; Neurobiologia Molecular e Celular; Neuroanatomia; Neurosicofarmacologia
ESZP026-13	Memória, Identidades Sociais e Cidadania nas Sociedades Complexas Contemporâneas	Não há
ESZT006-17	Mercado Imobiliário	Não há
NHZ2124-18	Metafísica Analítica	Lógica básica
NHZ2126-18	Metafísica Clássica	Não há
ESZM023-17	Metalurgia Física	Materiais Metálicos
NHZ2125-18	Metametafísica e Metaontologia	Lógica básica; Tópicos de metafísica
MCZB022-17	Metateoremas da Lógica Clássica	Álgebra Linear; Matemática Discreta
ESZG042-17	Metodologia de Análise de Riscos	Engenharia Econômica Aplicada a Sistemas de Gestão
LHZ0022-19	Metodologia do Ensino de Geografia	Não há
LHZ0023-19	Metodologia em História	Não há
LIE0001-19	Metodologias de Pesquisa em Educação	Não há
ESTS011-17	Métodos Computacionais para Análise Estrutural	Cálculo Numérico; Técnicas de Análise Estrutural e Projeto
NHT4025-15	Métodos de Análise em Química Orgânica	Funções e Reações Orgânicas; Mecanismos de Reações Orgânicas; Química Orgânica Experimental
ESZB028-17	Métodos de Elementos Finitos Aplicados a Sistemas Biomédicos	Modelagem de Sistemas Dinâmicos II
NHZ3041-15	Métodos de Formação de Imagem e de Inspeção Nuclear	Introdução à Física Nuclear
MCZA014-17	Métodos de Otimização	Programação Matemática
ESHT010-17	Métodos de Planejamento	Não há
ESZU014-17	Métodos de Tomada de Decisão Aplicados ao Planejamento Urbano-Ambiental	Métodos Quantitativos para Planejamento Estratégico
ESZC029-21	Métodos Empíricos para Avaliação de Políticas Públicas	Bases Matemáticas; Funções de uma Variável; Funções de Várias Variáveis; Economia Matemática; Introdução à Probabilidade e à Estatística; Introdução à Inferência Estatística; Econometria I; Econometria II
ESTO017-17	Métodos Experimentais em Engenharia	Introdução às Equações Diferenciais Ordinárias; Introdução à Probabilidade e à Estatística
ESTB031-18	Métodos Matemáticos Aplicados a Sistemas Biomédicos	Funções de Uma Variável; Introdução às Equações Diferenciais Ordinárias; Álgebra Linear
MCBM024-23	Métodos Numéricos para EDOs	Introdução às Equações Diferenciais Ordinárias; Processamento da Informação
MCBM025-23	Métodos Numéricos para EDPs	Álgebra Linear; Cálculo Numérico] ou Aproximação Teórica e Numérica II
NHZ2097-16	Métodos para Produção de Filosofia	Não há
ESHP024-22	Métodos Qualitativos e Desenho de Pesquisa para o TCC de Políticas Públicas	Não há
ESHP016-22	Métodos Quantitativos em Políticas Públicas	Introdução à Probabilidade e à Estatística
ESZU015-17	Métodos Quantitativos para Planejamento Estratégico	Métodos Experimentais em Engenharia; Cartografia e Geoprocessamento
MCZB024-13	Métodos Variacionais	Álgebra Linear; Introdução às Equações Diferenciais Ordinárias
ESZG030-17	Metrologia	Qualidade em Sistemas
NHT1056-15	Microbiologia	Biodiversidade: Interações entre organismos e ambiente; Biologia Celular; Bioquímica Funcional
ESTU010-17	Microbiologia Ambiental	Transformações Químicas; Bioquímica: estrutura, propriedade e funções de biomoléculas; Biodiversidade: Interações entre Organismos e Ambiente
ESZC037-21	Microeconomia do Desenvolvimento	Microeconomia I
ESHC025-17	Microeconomia I	Introdução à Economia; Bases Matemáticas; Economia Matemática; Funções de Uma Variável; Funções de Várias Variáveis
ESHC026-21	Microeconomia II	Introdução à Economia; Bases Matemáticas; Economia Matemática; Funções de Uma Variável; Funções de Várias Variáveis; Microeconomia I
ESHC029-21	Microeconomia III	Introdução à Economia; Bases Matemáticas; Economia Matemática; Funções de Uma Variável; Funções de Várias Variáveis; Microeconomia I
ESZC027-17	Microeconomia Sistêmica Ambiental	Bases Computacionais da Ciência; Microeconomia I; Microeconomia II; Microeconomia III; Economia do Meio Ambiente
ESZC038-21	Microeconomia: problemas avançados e técnicas de resolução	Funções de uma Variável; Funções de Várias Variáveis; Microeconomia I; Microeconomia II; Microeconomia III; Microeconomia Sistêmica Ambiental
NHZ3042-15	Microscopia Eletrônica	Mecânica Quântica I; Estado Sólido
ESZR006-21	Migrações Internacionais	Formação do Sistema Internacional
MCZA015-13	Mineração de Dados	Inteligência Artificial; Banco de Dados
ESHT012-17	Mobilização Produtiva dos Territórios e Desenvolvimento Local	Não há
MCCC012-23	Modelagem de Banco de Dados	Programação Orientada a Objetos; Programação Estruturada; Processamento da Informação
ESTB020-17	Modelagem de Sistemas Dinâmicos I	Métodos Matemáticos aplicados a Sistemas Biomédicos; Computação Científica aplicada a Problemas Biológicos
ESTB024-17	Modelagem de Sistemas Dinâmicos II	Modelagem de Sistemas Dinâmicos I
ESTA020-17	Modelagem e Controle	Introdução às Equações Diferenciais Ordinárias
ESZB038-17	Modelagem e Simulação do Movimento Humano	Biomecânica I
ESZC030-17	Modelagem Econômica no Século XXI	Desenvolvimento Socioeconômico
MCBM026-23	Modelagem Matemática em Ecologia e Evolução	Álgebra Linear; Introdução às Equações Diferenciais Ordinárias; Processamento da Informação
NHZ1079-15	Modelagem Molecular de Sistemas Biológicos	Equações Diferenciais Ordinárias
ESZG020-17	Modelos de Comunicação Nas Organizações	Clima e Cultura Organizacional
ESZG040-17	Modelos de Decisão Multicritério	Gestão de Operações
ESZG032-17	Modelos e Ferramentas de Gestão Ambiental	Não há
ESZP004-13	Modelos e Práticas Colaborativas em CT&I	Não há
ESZT022-17	Modelos Econômicos e Análise das Dinâmicas Territoriais	Não há
MCBM027-23	Modelos Matemáticos em Epidemiologia	Álgebra Linear; Introdução às Equações Diferenciais Ordinárias; Processamento da Informação
NHT1066-15	Morfofisiologia Animal Comparada	Zoologia de Invertebrados I; Zoologia de Invertebrados II; Zoologia de Vertebrados; Evolução
NHT1058-15	Morfofisiologia Humana I	Biologia Celular ou Neurobiologia Molecular e Celular; Histologia e Embriologia ou Neuroanatomia
NHT1059-15	Morfofisiologia Humana II	Biologia Celular; Histologia e Embriologia; Morfofisiologia Humana I
NHT1060-15	Morfofisiologia Humana III	Biologia Celular; Histologia e Embriologia; Morfofisiologia Humana I
NHZ6017-18	Morfofisiologia Vegetal	Bioquímica: estrutura, propriedade e funções de biomoléculas; Biologia Celular; Genética II
ESZE082-17	Motores de Combustão Interna	Termodinâmica Aplicada I; Termodinâmica Aplicada II; Sistemas Térmicos
ESZC013-17	Mudança Tecnológica e Dinâmica Capitalista na Economia Contemporânea	Não há
NHZ2134-18	Mulher, Imagem e Sociedade	Não há
NHZ6003-18	Nanobiotecnologia	Biologia Molecular e Biotecnologia; Biologia Celular; Genética II; Bioquímica: estrutura, propriedades e funções de biomoléculas; Farmacologia
ESZM002-17	Nanociência e Nanotecnologia	Física Quântica
ESZM031-17	Nanocompósitos	Nanociência e Nanotecnologia; Materiais Compósitos
NHZ3060-09	Nascimento e Desenvolvimento da Ciência Moderna	Não há
BCM0504-15	Natureza da Informação	Bases Computacionais da Ciência
ESZS008-17	Navegação Inercial e GPS	Dinâmica I
ESZG021-17	Negociação e Solução de Conflitos Organizacionais	Não há
ESZR009-13	Negociações internacionais, propriedade intelectual e transferência tecnológica	Não há
MCTC023-15	Neuroanatomia	Introdução à Neurociência ou Morfofisiologia Humana I
MCZC008-13	Neuroarte	Introdução à Neurociência
MCZC015-15	Neuroarte Prática e Estética Experimental	Neuroarte
MCTC019-20	Neurobiologia Molecular e Celular	Introdução à Neurociência ou Morfofisiologia Humana I; Biofísica de Membrana
MCZC016-15	Neurociência da Cognição Musical	Não há
MCNC002-23	Neurociência Teórica e Computacional	Natureza da Informação; Introdução às Equações Diferenciais Ordinárias; Biofísica de Membranas; Introdução à Neurociência ou Morfofisiologia Humana I
MCTC024-15	Neuroetologia	Introdução a Neurociência ou Morfofisiologia Humana I; Neuroanatomia; Neuropsicofarmacologia; Psicologia experimental; Neurociência teórica e computacional
MCTC018-20	Neuropsicofarmacologia	Introdução a Neurociência ou Morfofisiologia Humana I; Biofísica de membranas; Neuroanatomia; Neurobiologia Molecular e Celular
MCZC021-20	Neuropsicologia	Neuroanatomia; Psicologia Cognitiva
NHZ2128-18	Niilismo e Pessimismo Filosófico	História da Filosofia Contemporânea: o iluminismo e seus desdobramentos
NHZ3043-15	Noções de Astronomia e Cosmologia	Fenômenos Mecânicos; Fenômenos Térmicos; Fenômenos Eletromagnéticos; Física Quântica
ESZP053-22	Novas Abordagens Teóricas em Políticas Públicas	Não há
MCBM007-23	Números Reais e Sequências	Funções de uma Variável; Matemática Discreta
NHBF149-22	Oficina de Pesquisa em Filosofia I	Bases Epistemológicas da Ciência Moderna; Ética e Justiça; Temas e Problemas em Filosofia; Pensamento Crítico; Seminários de Leitura; História da Filosofia Moderna: Perspectivas Racionalistas; Lógica Básica; Ética; História da Filosofia Contemporânea: o Século XIX
NHBF150-22	Oficina de Pesquisa em Filosofia II	Bases Epistemológicas da Ciência Moderna; Ética e Justiça; Temas e Problemas em Filosofia; Pensamento Crítico; Seminários de Leitura; História da Filosofia Moderna: Perspectivas Racionalistas; Lógica Básica; Ética; História da Filosofia Contemporânea: o Século XIX
NHBF151-22	Oficina de Pesquisa em Filosofia III	Bases Epistemológicas da Ciência Moderna; Ética e Justiça; Temas e Problemas em Filosofia; Pensamento Crítico; Seminários de Leitura; História da Filosofia Moderna: Perspectivas Racionalistas; Lógica Básica; Ética; História da Filosofia Contemporânea: o Século XIX
ESHT014-22	Oficina de Planejamento de Áreas Periurbanas, Interioranas e Rurais	Planejamento e Política Ambiental; Planejamento e Política Rural
ESHT016-22	Oficina de Planejamento e Governança Metropolitana	Planejamento e Política Ambiental; Política Metropolitana; Planejamento e Política regional
ESHT013-22	Oficina de Planejamento Macro e Meso Regional	Planejamento e Política Ambiental; Planejamento e Política Regional
ESHT015-22	Oficina de Planejamento Urbano	Planejamento e Política Ambiental; Política Urbana
ESZT007-17	Oficina de Projeto Urbano	Não há
LHZ0024-19	Oficinas de Cultura e Arte-Educação	Não há
ESTI018-17	Ondas Eletromagnéticas Aplicadas	Fenômenos Eletromagnéticos
ESTE017-17	Operação de Sistemas Elétricos de Potência	Introdução aos Sistemas Elétricos de Potência
ESZE095-17	Operações e Equipamentos Industriais I	Mecânica dos Fluidos I
ESZE096-17	Operações e Equipamentos Industriais II	Termodinâmica Aplicada II; Transferência de Massa
NHBQ020-22	Operações Unitárias I	É recomendado que o aluno tenha sido aprovado nas disciplinas de Funções de uma variável; Fenômenos Mecânicos; Fenômenos Térmicos; Introdução à Troca de Calor, Massa e Movimentação de Fluidos.
NHBQ021-22	Operações Unitárias II	É recomendado que o aluno tenha sido aprovado nas disciplinas de Funções de uma variável; Fenômenos Mecânicos; Fenômenos Térmicos; Introdução à Troca de Calor, Massa e Movimentação de Fluidos; Operações Unitárias I.
NHT3044-15	Óptica	Fenômenos Eletromagnéticos; Funções de Várias Variáveis; Geometria Analítica
NHBP010-23	Óptica e Relatividade	Fenômenos Mecânicos; Funções de Várias Variáveis; Geometria Analítica
ESZA016-17	Optoeletrônica	Eletromagnetismo Aplicado
ESHP030-22	Orçamento Público	Não há
ESTG023-17	Organização do Trabalho	Princípios de Administração
ESHR017-21	Organizações Internacionais e Multilateralismo	Segurança Internacional
ESZR021-16	Oriente Médio nas Relações Internacionais	Não há
ESZS010-17	Otimização em Projetos de Estruturas	Cálculo Numérico; Mecânica dos Sólidos I
MCCC013-23	Otimização Linear	Álgebra Linear; Funções de Várias Variáveis; Processamento da Informação; Matemática Discreta
BHS0007-23	Panorama internacional do ABC	Não há
NHZ1037-15	Parasitologia	Zoologia de Vertebrados
ESHP026-14	Participação, Movimentos Sociais e Políticas Públicas	Conflitos Sociais; Cidadania, Direitos e Desigualdades
ESZT008-17	Patrimônio Cultural e Paisagem	Não há
NHZ4081-20	Paulo Freire: educação para a criticidade	Ciência, Tecnologia e Sociedade; Educação Científica, Sociedade e Cultura.
NHZ4082-20	Pedagogias Feministas	Não há
BHP0202-15	Pensamento Crítico	Não há
NHZ2098-16	Pensamento e cinema	Não há
NHZ2051-11	Pensamento Hegeliano e seus Desdobramentos Contemporâneos	Não há
NHZ2052-11	Pensamento Kantiano e seus Desdobramentos Contemporâneos	Não há
ESZP006-13	Pensamento Latino-Americano e Políticas de CT&I	Não há
NHZ2053-11	Pensamento Marxista e seus Desdobramentos Contemporâneos	Não há
NHZ2054-18	Pensamento Nietzscheano e seus Desdobramentos Contemporâneos	Não há
MCZB026-13	Percolação	Análise Real II; Cálculo de Probabilidade
ESZP054-22	Periferias Urbanas, Direito à Cidade e Políticas Públicas	Não há
ESZP030-13	Perspectiva de Análise do Estado e das Políticas Públicas	Não há
NHZ2055-11	Perspectivas Críticas da Filosofia Contemporânea	Não há
ESTG013-17	Pesquisa Operacional	Estatística Aplicada a Sistemas de Gestão
ESZG006-17	Pesquisa Operacional Aplicada	Pesquisa Operacional
ESZE064-17	Petrofísica	Materiais e suas Propriedades; Reologia
ESZS031-17	Placas e Cascas	Mecânica dos Sólidos I
ESZE080-17	Planejamento da Operação de Sistemas Hidrotérmicos de Potência	Introdução aos Sistemas Elétricos de Potência
ESZI022-17	Planejamento de Redes de Informação	Comunicação e Redes
ESTG014-17	Planejamento e Controle da Produção	Tempos, Métodos e Arranjos Físicos
ESZG010-17	Planejamento e Controle de Projetos	Elaboração, Análise e Avaliação de Projetos
ESZT009-17	Planejamento e Gestão de Redes Técnicas e Sistemas Territoriais	Não há
ESHT017-17	Planejamento e Política Ambiental	Estudos do Meio Físico; Biodiversidade: Interações entre Organismos e Ambiente; Regulação Ambiental e Urbanística
ESHT018-17	Planejamento e Política Regional	Não há
ESHT019-17	Planejamento e Política Rural	Não há
ESZG011-17	Planejamento Estratégico em Gestão de Projetos	Elaboração, Análise e Avaliação de Projetos
ESTU011-17	Planejamento Urbano e Metropolitano	Teoria do Planejamento Urbano e Ambiental
NHZ2057-11	Poder e Cultura na Sociedade da Informação	Não há
ESHP032-22	Poder Legislativo e Processo Decisório	Não há
ESHP027-14	Poder Local	Não há
NHBQ022-22	Polímeros: Síntese, Caracterização e Processos	Recomenda-se que o aluno tenha feito disciplinas básicas de química e química orgânica.
ESZE111-17	Política Energética	Economia da Energia
ESHR025-14	Política Externa Brasileira Contemporânea	História da Política Externa Brasileira
ESZR008-21	Política externa do Brasil e a América Do Sul	História da Política Externa Brasileira na América Latina
ESZT011-17	Política Habitacional	Não há
ESZR032-21	Política Internacional da Europa	Não há
ESHR012-21	Política Internacional dos EUA	Não há
ESHT020-17	Política Metropolitana	Não há
ESZP055-22	Política Previdenciária, Interesses Organizados e Processo Decisório	Introdução às Políticas Públicas; Poder Legislativo e Processo Decisório; Políticas Sociais
ESHT021-17	Política Urbana	Não há
ESZP007-13	Políticas Culturais	Não há
ESZP039-14	Políticas de Educação	Não há
ESZT010-17	Políticas de Infraestrutura	Não há
ESZP038-14	Políticas de Saúde	Não há
ESZP037-22	Políticas de Segurança Pública e Violência	Cidadania, Direitos e Desigualdades; Conflitos Sociais.
ESHP028-22	Políticas Digitais, Dados e Gestão Algorítmica	Não há
NHI5011-13	Políticas Educacionais	Não há
ESZP046-22	Políticas Públicas de Desenvolvimento Sustentável e Economia Solidária 	Não há
ESZP034-14	Políticas Públicas de Esporte e Lazer	Não há
ESZP009-13	Políticas Públicas de Intervenção Territorial no Brasil	Não há
ESZP056-22	Políticas Públicas de Juventude	Não há
ESZP057-22	Políticas Públicas e Desigualdades de Gênero e Raça	Não há
ESZR016-14	Políticas Públicas Sul-Americanas	Não há
ESHP018-14	Políticas Sociais	Não há
NHT5014-18	Políticas, Educação e Surdez	Não há
ESTU012-17	Poluição Atmosférica	Não há
NHZ2058-11	Pragmatismo	Não há
MCZA038-17	Prática Avançada de Programação A	Algoritmos e Estruturas de Dados I
MCZA039-17	Prática Avançada de Programação B	Análise de Algoritmos
MCZA040-17	Prática Avançada de Programação C	Análise de Algoritmos
NHH2088-16	Prática de Ensino de Filosofia: Currículos	Não há
NHH2089-16	Prática de Ensino de Filosofia: Metodologias	Prática de Ensino de Filosofia: Metodologias
NHH2090-16	Prática de Ensino de Filosofia: Programas de Ensino	Não se aplica
LHZ0025-19	Prática em Museus, Arquivos e Bens Culturais	Não há
BHS0008-23	Práticas Comunitárias em campo	Não há
LHZ0042-22	Práticas de Agroecologia: de(s)colonizando saberes sobre manejo e cultivo em solos tropicais	Não há
NHT5012-15	Práticas de Ciências no Ensino Fundamental	Não há
NHT1071-15	Práticas de Ecologia	Biodiversidade: Interações entre organismos e ambiente
LHZ0026-19	Práticas de Educação em Direitos Humanos	Não há
NHT1085-22	Práticas de Ensino de Biologia e Aprendizagem	Desenvolvimento e Aprendizagem; Práticas de Ciências no Ensino Fundamental; Práticas de Ensino de Ciências e Matemática no Ensino Fundamental
NHT1083-22	Práticas de Ensino de Biologia e Currículo	Políticas Educacionais; Práticas de ensino de Biologia e Planejamento
NHT1084-22	Práticas de Ensino de Biologia e Planejamento	Didática; Práticas de Ensino de Biologia e Aprendizagem
